,date,tempMax,tempMin,tempAvg,tempDeparture,hdd,cdd,precipitation,newSnow,snowDepth,station
0,2018-01-01,17,2,9.5,-23.6,55,0,0.00,0.0,1,Bridgeport Area
1,2018-01-02,25,12,18.5,-14.4,46,0,0.00,0.0,1,Bridgeport Area
2,2018-01-03,28,12,20.0,-12.7,45,0,0.00,0.0,1,Bridgeport Area
3,2018-01-04,27,22,24.5,-8.1,40,0,0.86,9.0,2,Bridgeport Area
4,2018-01-05,22,8,15.0,-17.4,50,0,0.00,0.0,8,Bridgeport Area
5,2018-01-06,13,3,8.0,-24.2,57,0,0.00,0.0,7,Bridgeport Area
6,2018-01-07,20,-2,9.0,-23.1,56,0,0.00,0.0,7,Bridgeport Area
7,2018-01-08,31,20,25.5,-6.4,39,0,0.03,0.3,7,Bridgeport Area
8,2018-01-09,43,25,34.0,2.2,31,0,0.00,0.0,5,Bridgeport Area
9,2018-01-10,36,19,27.5,-4.1,37,0,0.00,0.0,5,Bridgeport Area
10,2018-01-11,42,30,36.0,4.5,29,0,0.00,0.0,5,Bridgeport Area
11,2018-01-12,55,37,46.0,14.6,19,0,0.37,0.0,3,Bridgeport Area
12,2018-01-13,54,17,35.5,4.2,29,0,0.19,0.0,0,Bridgeport Area
13,2018-01-14,26,14,20.0,-11.2,45,0,0.00,0.0,0,Bridgeport Area
14,2018-01-15,26,15,20.5,-10.6,44,0,0.00,0.0,0,Bridgeport Area
15,2018-01-16,36,20,28.0,-3.0,37,0,0.00,0.0,0,Bridgeport Area
16,2018-01-17,37,22,29.5,-1.5,35,0,0.19,T,0,Bridgeport Area
17,2018-01-18,32,17,24.5,-6.4,40,0,0.00,0.0,0,Bridgeport Area
18,2018-01-19,36,20,28.0,-2.8,37,0,0.00,0.0,0,Bridgeport Area
19,2018-01-20,51,29,40.0,9.2,25,0,0.00,0.0,0,Bridgeport Area
20,2018-01-21,45,27,36.0,5.2,29,0,T,0.0,0,Bridgeport Area
21,2018-01-22,46,36,41.0,10.3,24,0,0.02,0.0,0,Bridgeport Area
22,2018-01-23,54,40,47.0,16.3,18,0,0.55,0.0,0,Bridgeport Area
23,2018-01-24,43,25,34.0,3.3,31,0,0.00,0.0,0,Bridgeport Area
24,2018-01-25,34,21,27.5,-3.2,37,0,0.00,0.0,0,Bridgeport Area
25,2018-01-26,34,22,28.0,-2.8,37,0,0.00,0.0,0,Bridgeport Area
26,2018-01-27,48,23,35.5,4.7,29,0,0.00,0.0,0,Bridgeport Area
